id,source,target,score,accession,platformType,platform,pathway,cells,treatment,dose,effect,hours,sign,targets,level,mean_ligand_score
BMP6@Condition:mesenchymal stem cells&Duration:8h@GSE13604.MicroArray.HG-U133_Plus_2,BMP6,BMP6,10.46383138676363,GSE13604,MicroArray,HG-U133_Plus_2,NA,mesenchymal stem cells,BMP6,NA,activating,8h,1,BMP6,2,7.315812032520716
BMP6@Condition:vertebral bone marrow mesenchymal stem cell&Duration:24h@GSE28074.MicroArray.HG-U133_Plus_2,BMP6,BMP6,6.5933683166568295,GSE28074,MicroArray,HG-U133_Plus_2,NA,vertebral bone marrow mesenchymal stem cell,BMP6,NA,activating,24h,1,BMP6,2,7.315812032520716
BMP6@Condition:vertebral bone marrow mesenchymal stem cell&Duration:8h@GSE28074.MicroArray.HG-U133_Plus_2,BMP6,BMP6,6.541022274329585,GSE28074,MicroArray,HG-U133_Plus_2,NA,vertebral bone marrow mesenchymal stem cell,BMP6,NA,activating,8h,1,BMP6,2,7.315812032520716
BMP6@Condition:vertebral bone marrow mesenchymal stem cell&Duration:96h@GSE28074.MicroArray.HG-U133_Plus_2,BMP6,BMP6,5.66502615233282,GSE28074,MicroArray,HG-U133_Plus_2,NA,vertebral bone marrow mesenchymal stem cell,BMP6,NA,activating,96h,1,BMP6,2,7.315812032520716
IL24@Condition:NHEK@GSE7216.MicroArray.HG-U133_Plus_2,IL24,IL24,5.241352942156337,GSE7216,MicroArray,HG-U133_Plus_2,NA,NHEK,IL24,NA,activating,NA,1,IL24,3,5.241352942156337
IL36G@Condition:keratinocytes@GSE96601.RNASeq.SRP101868_GRCh38,IL36G,IL36G,4.649523492382743,GSE96601,RNASeq,SRP101868_GRCh38,NA,keratinocytes,IL36G,NA,activating,NA,1,IL36G,3,4.649523492382743
OSM@Condition:HAVICs&Duration:3 days@GSE101155.MicroArray.GPL10904,OSM,OSM,0.8169805251464918,GSE101155,MicroArray,GPL10904,NA,HAVICs,OSM,NA,activating,3 days,1,OSM,3,4.394871734937583
OSM@Condition:HCT116@GSE53295.MicroArray.GPL6480,OSM,OSM,6.5212738176655405,GSE53295,MicroArray,GPL6480,NA,HCT116,OSM,NA,activating,NA,1,OSM,3,4.394871734937583
OSM@Condition:HepG2@E-MTAB-4570.MicroArray.HTA-2_0,OSM,OSM,2.8018018425265163,E-MTAB-4570,MicroArray,HTA-2_0,NA,HepG2,OSM,NA,activating,NA,1,OSM,3,4.394871734937583
OSM@Condition:HuH-7@E-MTAB-4570.MicroArray.HTA-2_0,OSM,OSM,6.589523095750833,E-MTAB-4570,MicroArray,HTA-2_0,NA,HuH-7,OSM,NA,activating,NA,1,OSM,3,4.394871734937583
OSM@Condition:Huh7@GSE13046.MicroArray.HG-U133A_2,OSM,OSM,5.244779393598532,GSE13046,MicroArray,HG-U133A_2,NA,Huh7,OSM,NA,activating,NA,1,OSM,3,4.394871734937583
VEGFA@Condition:HUVEC@GSE129275.MicroArray.GPL10558,VEGFA,VEGFA,4.327164987132012,GSE129275,MicroArray,GPL10558,NA,HUVEC,VEGFA,NA,activating,NA,1,VEGFA,2,4.327164987132012
BMP2@Condition:CCL171&Duration:24h@GSE66108.MicroArray.GPL9257,BMP2,BMP2,1.8703906724840595,GSE66108,MicroArray,GPL9257,NA,CCL171,BMP2,NA,activating,24h,1,BMP2,2,4.067821289264374
BMP2@Condition:dental progenitor/stem cells&Duration:7d@GSE20963.MicroArray.HuGene-1_0-st-v1,BMP2,BMP2,1.9938012413314767,GSE20963,MicroArray,HuGene-1_0-st-v1,NA,dental progenitor/stem cells,BMP2,NA,activating,7d,1,BMP2,2,4.067821289264374
BMP2@Condition:MDA-MB-231&Duration:24h@GSE66108.MicroArray.GPL9257,BMP2,BMP2,4.835764224343773,GSE66108,MicroArray,GPL9257,NA,MDA-MB-231,BMP2,NA,activating,24h,1,BMP2,2,4.067821289264374
BMP2@Condition:Primary human osteoblast like cells&Duration:24h@GSE10311.MicroArray.HG-U133_Plus_2,BMP2,BMP2,3.4163587760060574,GSE10311,MicroArray,HG-U133_Plus_2,NA,Primary human osteoblast like cells,BMP2,NA,activating,24h,1,BMP2,2,4.067821289264374
BMP2@Condition:Primary human osteoblast like cells&Duration:2h@GSE10311.MicroArray.HG-U133_Plus_2,BMP2,BMP2,7.229964760775148,GSE10311,MicroArray,HG-U133_Plus_2,NA,Primary human osteoblast like cells,BMP2,NA,activating,2h,1,BMP2,2,4.067821289264374
BMP2@Condition:T47D&Duration:24h@GSE66108.MicroArray.GPL9257,BMP2,BMP2,5.060648060645728,GSE66108,MicroArray,GPL9257,NA,T47D,BMP2,NA,activating,24h,1,BMP2,2,4.067821289264374
IL19@Condition:NHEK@GSE7216.MicroArray.HG-U133_Plus_2,IL19,IL19,3.933208371957253,GSE7216,MicroArray,HG-U133_Plus_2,NA,NHEK,IL19,NA,activating,NA,1,IL19,3,3.933208371957253
IL21@Condition:B cell@GSE111475.MicroArray.GPL10558,IL21,IL21,4.657347394219875,GSE111475,MicroArray,GPL10558,NA,B cell,IL21,NA,activating,NA,1,IL21,3,3.8476579283401118
IL21@Condition:Sez-4@GSE8685.MicroArray.HG-U133_Plus_2,IL21,IL21,3.0379684624603485,GSE8685,MicroArray,HG-U133_Plus_2,NA,Sez-4,IL21,NA,activating,NA,1,IL21,3,3.8476579283401118
TGFB3@Condition:heart valve endothelial cells&Duration:8h@GSE65445.MicroArray.GPL10904,TGFB3,TGFB3,4.920517786635134,GSE65445,MicroArray,GPL10904,NA,heart valve endothelial cells,TGFB3,NA,activating,8h,1,TGFB3,2,3.5174075008049934
TGFB3@Condition:heart valve interstitial cells&Duration:8h@GSE65445.MicroArray.GPL10904,TGFB3,TGFB3,2.1142972149748527,GSE65445,MicroArray,GPL10904,NA,heart valve interstitial cells,TGFB3,NA,activating,8h,1,TGFB3,2,3.5174075008049934
TGFB2@Condition:HLE B-3 cells@GSE98225.MicroArray.GPL21047,TGFB2,TGFB2,5.798499774492909,GSE98225,MicroArray,GPL21047,NA,HLE B-3 cells,TGFB2,NA,activating,NA,1,TGFB2,2,3.1916466708326667
TGFB2@Condition:Human coronary artery endothelial cells@GSE96089.MicroArray.GPL16699,TGFB2,TGFB2,-3.027622590818447,GSE96089,MicroArray,GPL16699,NA,Human coronary artery endothelial cells,TGFB2,NA,activating,NA,1,TGFB2,2,3.1916466708326667
TGFB2@Condition:Trabecular Meshwork@GSE7144.MicroArray.GPL96,TGFB2,TGFB2,6.804062828823538,GSE7144,MicroArray,GPL96,NA,Trabecular Meshwork,TGFB2,NA,activating,NA,1,TGFB2,2,3.1916466708326667
IFNG@Condition:A549&Duration:24h@GSE5542.MicroArray.GPL96,IFNG,IFNG,3.0794879855849415,GSE5542,MicroArray,GPL96,NA,A549,IFNG,NA,activating,24h,1,IFNG,3,3.020145981953027
