id,source,score,target,accession,platformType,platform,pathway,cells,treatment,dose,effect,hours,sign,targets,hours_standardized,hours_inferred,inferred_time,inferred_time_systematic,inferred_time_expanded,inferred_time_all_conditions
Activin A@Condition:hESC line H1@GSE21715.MicroArray.GPL10399,INHBA,0.2320105613058475,INHBA,GSE21715,MicroArray,GPL10399,,hESC line H1,INHBA,,activating,,1.0,Activin A,,,,,,
ADM@Condition:Human lymphatic endothelial cells&Duration:0.25h@GSE59938.MicroArray.GPL4133,ADM,2.063813399370169,ADM,GSE59938,MicroArray,GPL4133,,Human lymphatic endothelial cells,ADM,,activating,0.25h,1.0,ADM,0.25,0.25,0.25,0.25,0.25,0.25
ADM@Condition:Human lymphatic endothelial cells&Duration:1.0h@GSE59938.MicroArray.GPL4133,ADM,0.3466397647878525,ADM,GSE59938,MicroArray,GPL4133,,Human lymphatic endothelial cells,ADM,,activating,1.0h,1.0,ADM,1.0,1.0,1.0,1.0,1.0,1.0
ADM@Condition:Human lymphatic endothelial cells&Duration:24.0h@GSE59938.MicroArray.GPL4133,ADM,1.1883195236222277,ADM,GSE59938,MicroArray,GPL4133,,Human lymphatic endothelial cells,ADM,,activating,24.0h,1.0,ADM,24.0,24.0,24.0,24.0,24.0,24.0
ANGPT1@Condition:HUVEC&Duration:4h@GSE77597.RNASeq.SRP069359_GRCh38,ANGPT1,,ANGPT1,GSE77597,RNASeq,SRP069359_GRCh38,,HUVEC,ANGPT1,,activating,4h,1.0,ANGPT1,4.0,4.0,4.0,4.0,4.0,4.0
BDNF@Condition:embryonic stem cell&Duration:0.5h@E-MTAB-6975.RNASeq.ERP109789_GRCh38,BDNF,1.8876882640439765,BDNF,E-MTAB-6975,RNASeq,ERP109789_GRCh38,,embryonic stem cell,BDNF,,activating,0.5h,1.0,BDNF,0.5,0.5,0.5,0.5,0.5,0.5
BDNF@Condition:embryonic stem cell&Duration:12.0h@E-MTAB-6975.RNASeq.ERP109789_GRCh38,BDNF,-0.7013171768823169,BDNF,E-MTAB-6975,RNASeq,ERP109789_GRCh38,,embryonic stem cell,BDNF,,activating,12.0h,1.0,BDNF,12.0,12.0,12.0,12.0,12.0,12.0
BDNF@Condition:embryonic stem cell&Duration:2.0h@E-MTAB-6975.RNASeq.ERP109789_GRCh38,BDNF,-0.3377438569773859,BDNF,E-MTAB-6975,RNASeq,ERP109789_GRCh38,,embryonic stem cell,BDNF,,activating,2.0h,1.0,BDNF,2.0,2.0,2.0,2.0,2.0,2.0
BDNF@Condition:embryonic stem cell&Duration:24.0h@E-MTAB-6975.RNASeq.ERP109789_GRCh38,BDNF,-0.3376038978362756,BDNF,E-MTAB-6975,RNASeq,ERP109789_GRCh38,,embryonic stem cell,BDNF,,activating,24.0h,1.0,BDNF,24.0,24.0,24.0,24.0,24.0,24.0
BDNF@Condition:SH-SY5Y&Duration:60min@GSE78055.MicroArray.GPL19395,BDNF,0.8273605489231656,BDNF,GSE78055,MicroArray,GPL19395,,SH-SY5Y,BDNF,,activating,60min,1.0,BDNF,,,,1.0,1.0,1.0
BMP2@Condition:CCL171&Duration:24h@GSE66108.MicroArray.GPL9257,BMP2,3.1199490118705966,BMP2,GSE66108,MicroArray,GPL9257,,CCL171,BMP2,,activating,24h,1.0,BMP2,24.0,24.0,24.0,24.0,24.0,24.0
BMP2@Condition:dental progenitor/stem cells&Duration:7d@GSE20963.MicroArray.HuGene-1_0-st-v1,BMP2,2.9027190499877498,BMP2,GSE20963,MicroArray,HuGene-1_0-st-v1,,dental progenitor/stem cells,BMP2,,activating,7d,1.0,BMP2,168.0,168.0,168.0,168.0,168.0,168.0
BMP2@Condition:MDA-MB-231&Duration:24h@GSE66108.MicroArray.GPL9257,BMP2,8.736360960946715,BMP2,GSE66108,MicroArray,GPL9257,,MDA-MB-231,BMP2,,activating,24h,1.0,BMP2,24.0,24.0,24.0,24.0,24.0,24.0
BMP2@Condition:Primary human osteoblast like cells&Duration:24h@GSE10311.MicroArray.HG-U133_Plus_2,BMP2,3.6426114880882015,BMP2,GSE10311,MicroArray,HG-U133_Plus_2,,Primary human osteoblast like cells,BMP2,,activating,24h,1.0,BMP2,24.0,24.0,24.0,24.0,24.0,24.0
BMP2@Condition:Primary human osteoblast like cells&Duration:2h@GSE10311.MicroArray.HG-U133_Plus_2,BMP2,10.143529062671597,BMP2,GSE10311,MicroArray,HG-U133_Plus_2,,Primary human osteoblast like cells,BMP2,,activating,2h,1.0,BMP2,2.0,2.0,2.0,2.0,2.0,2.0
BMP2@Condition:T47D&Duration:24h@GSE66108.MicroArray.GPL9257,BMP2,8.7360629381547,BMP2,GSE66108,MicroArray,GPL9257,,T47D,BMP2,,activating,24h,1.0,BMP2,24.0,24.0,24.0,24.0,24.0,24.0
BMP4@Condition:CCL-171&Duration:12h@GSE66109.MicroArray.GPL19807,BMP4,2.609617854276051,BMP4,GSE66109,MicroArray,GPL19807,,CCL-171,BMP4,,activating,12h,1.0,BMP4,12.0,12.0,12.0,12.0,12.0,12.0
BMP4@Condition:CCL-171&Duration:24h@GSE66109.MicroArray.GPL19807,BMP4,1.071891420699222,BMP4,GSE66109,MicroArray,GPL19807,,CCL-171,BMP4,,activating,24h,1.0,BMP4,24.0,24.0,24.0,24.0,24.0,24.0
