id,source,score,target,accession,platformType,platform,pathway,cells,treatment,dose,effect,hours,sign,targets
Activin A@Condition:hESC line H1@GSE21715.MicroArray.GPL10399,INHBA,0.23201056130584757,INHBA,GSE21715,MicroArray,GPL10399,NA,hESC line H1,INHBA,NA,activating,NA,1,Activin A
ADM@Condition:Human lymphatic endothelial cells&Duration:0.25h@GSE59938.MicroArray.GPL4133,ADM,2.0638133993701695,ADM,GSE59938,MicroArray,GPL4133,NA,Human lymphatic endothelial cells,ADM,NA,activating,0.25h,1,ADM
ADM@Condition:Human lymphatic endothelial cells&Duration:1.0h@GSE59938.MicroArray.GPL4133,ADM,0.3466397647878525,ADM,GSE59938,MicroArray,GPL4133,NA,Human lymphatic endothelial cells,ADM,NA,activating,1.0h,1,ADM
ADM@Condition:Human lymphatic endothelial cells&Duration:24.0h@GSE59938.MicroArray.GPL4133,ADM,1.1883195236222275,ADM,GSE59938,MicroArray,GPL4133,NA,Human lymphatic endothelial cells,ADM,NA,activating,24.0h,1,ADM
ANGPT1@Condition:HUVEC&Duration:4h@GSE77597.RNASeq.SRP069359_GRCh38,ANGPT1,NA,ANGPT1,GSE77597,RNASeq,SRP069359_GRCh38,NA,HUVEC,ANGPT1,NA,activating,4h,1,ANGPT1
BDNF@Condition:embryonic stem cell&Duration:0.5h@E-MTAB-6975.RNASeq.ERP109789_GRCh38,BDNF,1.8876882640439765,BDNF,E-MTAB-6975,RNASeq,ERP109789_GRCh38,NA,embryonic stem cell,BDNF,NA,activating,0.5h,1,BDNF
BDNF@Condition:embryonic stem cell&Duration:12.0h@E-MTAB-6975.RNASeq.ERP109789_GRCh38,BDNF,-0.7013171768823169,BDNF,E-MTAB-6975,RNASeq,ERP109789_GRCh38,NA,embryonic stem cell,BDNF,NA,activating,12.0h,1,BDNF
BDNF@Condition:embryonic stem cell&Duration:2.0h@E-MTAB-6975.RNASeq.ERP109789_GRCh38,BDNF,-0.33774385697738596,BDNF,E-MTAB-6975,RNASeq,ERP109789_GRCh38,NA,embryonic stem cell,BDNF,NA,activating,2.0h,1,BDNF
BDNF@Condition:embryonic stem cell&Duration:24.0h@E-MTAB-6975.RNASeq.ERP109789_GRCh38,BDNF,-0.3376038978362756,BDNF,E-MTAB-6975,RNASeq,ERP109789_GRCh38,NA,embryonic stem cell,BDNF,NA,activating,24.0h,1,BDNF
BDNF@Condition:SH-SY5Y&Duration:60min@GSE78055.MicroArray.GPL19395,BDNF,0.8273605489231656,BDNF,GSE78055,MicroArray,GPL19395,NA,SH-SY5Y,BDNF,NA,activating,60min,1,BDNF
BMP2@Condition:CCL171&Duration:24h@GSE66108.MicroArray.GPL9257,BMP2,3.1199490118705966,BMP2,GSE66108,MicroArray,GPL9257,NA,CCL171,BMP2,NA,activating,24h,1,BMP2
