id,ligand,sign,score_original,level_original,snapshot_original,figure_target_mapped,score_updated,level_updated,snapshot_updated,performance_original,performance_updated,performance_delta,level_delta,comparison_status
BMP4@Condition:embryonic stem cell@E-MEXP-1192.MicroArray.HG-U133_Plus_2,BMP4,1,11.971194556369204,2,original,TRUE,9.226824160592791,2,updated,11.971194556369204,9.226824160592791,-2.7443703957764125,0,shared
IFNA@Condition:monocyte-derived dendritic cell@E-MEXP-2000.MicroArray.HG-U133A,IFNA1,1,6.237915284068396,1,original,TRUE,NA,NA,updated,6.237915284068396,NA,NA,NA,original_only
IL4@Condition:monocyte-derived dendritic cell@E-MEXP-2000.MicroArray.HG-U133A,IL4,1,0.8173837992450962,2,original,TRUE,-0.14061150794351335,2,updated,0.8173837992450962,-0.14061150794351335,-0.9579953071886096,0,shared
HGF@Condition:lymphatic endothelial cells@E-MEXP-256.MicroArray.HG-U133_Plus_2,HGF,1,-1.3107505804566826,2,original,TRUE,0.7373490010498707,3,updated,-1.3107505804566826,0.7373490010498707,2.0480995815065532,1,shared
IL7@Condition:CD19+ B cells@E-MEXP-2878.MicroArray.HG-U133_Plus_2,IL7,1,0.3273543752965657,2,original,TRUE,0.8415242960658299,3,updated,0.3273543752965657,0.8415242960658299,0.5141699207692643,1,shared
IL13&Dose:100ng/ml@Condition:control transduced_ESCC@E-MEXP-3345.MicroArray.HuGene-1_0-st-v1,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
GDNF&Dose:20ng/ml_Duration:24h@Condition:MCF7 cell@E-MEXP-3662.MicroArray.BeadStudio.GDNF.normalised.data,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
GDNF&Dose:20ng/ml_Duration:48h@Condition:MCF7 cell@E-MEXP-3662.MicroArray.BeadStudio.GDNF.normalised.data,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
GDNF&Dose:20ng/ml_Duration:4h@Condition:MCF7 cell@E-MEXP-3662.MicroArray.BeadStudio.GDNF.normalised.data,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
GDNF&Dose:20ng/ml_Duration:8h@Condition:MCF7 cell@E-MEXP-3662.MicroArray.BeadStudio.GDNF.normalised.data,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
IFNG&Dose:50 n/m_Duration:12h@Condition:A375@E-MEXP-3720.MicroArray.HuGene-1_0-st-v1,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
IFNG&Dose:50 n/m_Duration:24h@Condition:A375@E-MEXP-3720.MicroArray.HuGene-1_0-st-v1,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
IFNG&Dose:50 n/m_Duration:3h@Condition:A375@E-MEXP-3720.MicroArray.HuGene-1_0-st-v1,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
IFNG&Dose:50 n/m_Duration:48h@Condition:A375@E-MEXP-3720.MicroArray.HuGene-1_0-st-v1,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
IFNG&Dose:50 n/m_Duration:72h@Condition:A375@E-MEXP-3720.MicroArray.HuGene-1_0-st-v1,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
IFNA&Dose:10ng/ml_Duration:6h@Condition:blood vessel endothelial cell@E-MEXP-3746.MicroArray.HuEx-1_0-st-v2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
IFNA&Dose:100IU/ml@Condition:HuH-7&Duration:24h@E-MEXP-714.MicroArray.HG-U133A,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
IFNA&Dose:100IU/ml@Condition:HuH-7&Duration:2h@E-MEXP-714.MicroArray.HG-U133A,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
IFNA&Dose:100IU/ml@Condition:HuH-7&Duration:48h@E-MEXP-714.MicroArray.HG-U133A,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
IFNA&Dose:100IU/ml@Condition:HuH-7&Duration:72h@E-MEXP-714.MicroArray.HG-U133A,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
IFNA&Dose:100IU/ml@Condition:HuH-7&Duration:8h@E-MEXP-714.MicroArray.HG-U133A,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TGFB1&Dose:0.1nmol/l_Duration:3h@Condition:glioma@E-MEXP-903.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:0.1 ng/ml@Condition:bronchus epithelial cell&Duration:0.5h@E-MTAB-1027.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:1.0 ng/ml@Condition:bronchus epithelial cell&Duration:0.5h@E-MTAB-1027.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
TNFA&Dose:10.0 ng/ml@Condition:bronchus epithelial cell&Duration:0.5h@E-MTAB-1027.MicroArray.HG-U133_Plus_2,NA,1,NA,NA,original,FALSE,NA,NA,updated,NA,NA,NA,NA,not_in_figure_2a_mapping
